sel_phenotype	co_phenotype	# of shared individuals	# of shared significant biomolecules (adjusted)	institution
Alzheimer's disease	Disorders secondary to childbirth, surgery, trauma	2	NA	ukb
Alzheimer's disease	Noninflammatory female genital disorders	2	NA	ukb
Alzheimer's disease	Hemorrhage in early pregnancy	2	NA	ukb
Alzheimer's disease	Impetigo	2	NA	ukb
Alzheimer's disease	Congenital anomalies of skin	2	NA	ukb
Alzheimer's disease	Vascular disorders of skin	2	NA	ukb
Alzheimer's disease	Dermatitis herpetiformis	2	NA	ukb
Alzheimer's disease	Other specified diseases of hair and hair follicles	2	NA	ukb
Alzheimer's disease	Hidradenitis	2	NA	ukb
Alzheimer's disease	Other specified diseases of sebaceous glands	2	NA	ukb
Alzheimer's disease	Juvenile rheumatoid arthritis	2	NA	ukb
Alzheimer's disease	Unspecified monoarthritis	2	26	ukb
Alzheimer's disease	Palindromic rheumatism	2	NA	ukb
Alzheimer's disease	Torticollis	2	NA	ukb
Alzheimer's disease	Rupture of tendon, nontraumatic	2	NA	ukb
Alzheimer's disease	Osteochondritis dissecans	2	NA	ukb
Alzheimer's disease	Lordosis (acquired)	2	NA	ukb
Alzheimer's disease	Hemarthrosis	2	NA	ukb
Alzheimer's disease	Derangement of joint, non-traumatic	2	NA	ukb
Alzheimer's disease	Congenital anomalies of great vessels	2	78	ukb
Alzheimer's disease	Congenital anomalies of esophagus	2	NA	ukb
Alzheimer's disease	Congenital anomaly of gallbladder, bile ducts, liver, pancreas	2	NA	ukb
Alzheimer's disease	Spina bifida	2	NA	ukb
Alzheimer's disease	Congenital cataract and lens anomalies	2	NA	ukb
Alzheimer's disease	Nonspecific abnormal findings on radiological and other examination of musculoskeletal system	2	NA	ukb
Alzheimer's disease	Diaper or napkin rash	2	NA	ukb
Alzheimer's disease	Toxic effect of noxious substances eaten as food	2	NA	ukb
Alzheimer's disease	Rheumatic fever / chorea	1	NA	ukb
Alzheimer's disease	Herpes simplex	1	NA	ukb
Alzheimer's disease	Viral hepatitis A	1	NA	ukb
Alzheimer's disease	Crushing injury	1	NA	ukb
Alzheimer's disease	Histoplasmosis	1	NA	ukb
Alzheimer's disease	Aspergillosis	1	NA	ukb
Alzheimer's disease	Spirochetal infection	1	NA	ukb
Alzheimer's disease	Helminthiases	1	NA	ukb
Alzheimer's disease	Cancer of mouth	1	NA	ukb
Alzheimer's disease	Cancer of the gums	1	NA	ukb
Alzheimer's disease	Cancer of the mouth floor	1	NA	ukb
Alzheimer's disease	Neoplasm of uncertain behavior of skin	1	NA	ukb
Alzheimer's disease	Cervical cancer	1	NA	ukb
Alzheimer's disease	Malignant neoplasm of renal pelvis	1	NA	ukb
Alzheimer's disease	Neurofibromatosis	1	NA	ukb
Alzheimer's disease	Hodgkin's disease	1	NA	ukb
Alzheimer's disease	Lymphoid leukemia	1	NA	ukb
Alzheimer's disease	Vascular hamartomas and non-neoplastic nevi	1	NA	ukb
Alzheimer's disease	Other benign neoplasm of uterus	1	NA	ukb
Alzheimer's disease	Benign neoplasm of male genital organs	1	NA	ukb
Alzheimer's disease	Benign neoplasm of eye	1	NA	ukb
Alzheimer's disease	Benign neoplasm of eye, uveal	1	NA	ukb
Alzheimer's disease	Benign neoplasm of thyroid glands	1	NA	ukb
Alzheimer's disease	Glycosuria or Acetonuria	1	NA	ukb
Alzheimer's disease	Disorders of parathyroid gland	1	NA	ukb
Alzheimer's disease	Hyperaldosteronism	1	NA	ukb
Alzheimer's disease	Ovarian dysfunction	1	NA	ukb
Alzheimer's disease	Polycystic ovaries	1	NA	ukb
Alzheimer's disease	Testicular dysfunction	1	NA	ukb
Alzheimer's disease	Postablative ovarian failure	1	NA	ukb
Alzheimer's disease	Vitamin deficiency	1	NA	ukb
Alzheimer's disease	Other nutritional deficiency	1	NA	ukb
Alzheimer's disease	Disturbances of amino-acid transport	1	NA	ukb
Alzheimer's disease	Macroglobulinemia	1	NA	ukb
Alzheimer's disease	Hyperglyceridemia	1	NA	ukb
Alzheimer's disease	Abnormal weight gain	1	NA	ukb
Alzheimer's disease	Acute posthemorrhagic anemia	1	NA	ukb
Alzheimer's disease	Congenital deficiency of other clotting factors (including factor VII)	1	NA	ukb
Alzheimer's disease	Acquired coagulation factor deficiency	1	NA	ukb
Alzheimer's disease	Hemorrhagic disorder due to intrinsic circulating anticoagulants	1	NA	ukb
Alzheimer's disease	Allergic purpura	1	NA	ukb
Alzheimer's disease	Abnormality of red blood cells	1	NA	ukb
Alzheimer's disease	Other persistent mental disorders due to conditions classified elsewhere	1	NA	ukb
Alzheimer's disease	Dysthymic disorder	1	NA	ukb
Alzheimer's disease	Acute reaction to stress	1	NA	ukb
Alzheimer's disease	Schizoid personality disorder	1	NA	ukb
Alzheimer's disease	Sexual and gender identity disorders	1	NA	ukb
Alzheimer's disease	Psychogenic disorder	1	NA	ukb
Alzheimer's disease	Impulse control disorder	1	NA	ukb
Alzheimer's disease	Tics and stuttering	1	NA	ukb
Alzheimer's disease	Polyneuropathy due to drugs	1	NA	ukb
Alzheimer's disease	Encephalitis, non-infectious	1	NA	ukb
Alzheimer's disease	Parasomnia	1	NA	ukb
Alzheimer's disease	Infantile cerebral palsy	1	NA	ukb
Alzheimer's disease	Nonspecific abnormal findings in cerebrospinal fluid	1	NA	ukb
Alzheimer's disease	Cataplexy and narcolepsy	1	NA	ukb
Alzheimer's disease	Abnormal reflex	1	NA	ukb
Alzheimer's disease	Nerve plexus lesions	1	NA	ukb
Alzheimer's disease	Nerve root lesions	1	NA	ukb
Alzheimer's disease	Complex regional/central pain syndrome	1	NA	ukb
Alzheimer's disease	Disorders of the globe	1	NA	ukb
Alzheimer's disease	Chorioretinal inflammations, scars, and other disorders of choroid	1	NA	ukb
Alzheimer's disease	Chorioretinal scars	1	NA	ukb
Alzheimer's disease	Keratoconus	1	NA	ukb
Alzheimer's disease	Nonsenile Cataract	1	NA	ukb
Alzheimer's disease	Disorders of refraction and accommodation; blindness and low vision	1	NA	ukb
Alzheimer's disease	Disorders of accommodation	1	NA	ukb
Alzheimer's disease	Keratitis	1	NA	ukb
Alzheimer's disease	Conjunctivitis, noninfectious	1	NA	ukb
Alzheimer's disease	Central origin vertigo	1	NA	ukb
Alzheimer's disease	Acute rheumatic heart disease	1	NA	ukb
Alzheimer's disease	Hypertensive heart and/or renal disease	1	NA	ukb
Alzheimer's disease	Pulmonary heart disease	1	8	ukb
Alzheimer's disease	Other cardiomyopathy	1	NA	ukb
Alzheimer's disease	Anomalous atrioventricular excitation	1	NA	ukb
Alzheimer's disease	Paroxysmal tachycardia, unspecified	1	NA	ukb
Alzheimer's disease	Atherosclerosis of renal artery	1	NA	ukb
Alzheimer's disease	Chronic vascular insufficiency of intestine	1	NA	ukb
Alzheimer's disease	Peripheral angiopathy in diseases classified elsewhere	1	NA	ukb
Alzheimer's disease	Hypersensitivity angiitis	1	NA	ukb
Alzheimer's disease	Postphlebitic syndrome	1	NA	ukb
Alzheimer's disease	Other disorders of circulatory system	1	NA	ukb
Alzheimer's disease	Chronic laryngitis	1	NA	ukb
Alzheimer's disease	Pseudomonal pneumonia	1	NA	ukb
Alzheimer's disease	Extrinsic allergic alveolitis	1	NA	ukb
Alzheimer's disease	Apnea	1	NA	ukb
Alzheimer's disease	Tracheostomy complications	1	NA	ukb
Alzheimer's disease	Diseases of the salivary glands	1	NA	ukb
Alzheimer's disease	Other specified diseases of the salivary glands	1	NA	ukb
Alzheimer's disease	Cellulitis and abscess of oral soft tissues	1	NA	ukb
Alzheimer's disease	Gastrojejunal ulcer	1	NA	ukb
Alzheimer's disease	Appendicitis	1	NA	ukb
Alzheimer's disease	Chronic passive congestion of liver	1	NA	ukb
Alzheimer's disease	Cholesterolosis of gallbladder	1	NA	ukb
Alzheimer's disease	Renal osteodystrophy	1	NA	ukb
Alzheimer's disease	Acute cystitis	1	NA	ukb
Alzheimer's disease	Infertility, male	1	NA	ukb
Alzheimer's disease	Fibrosclerosis of breast	1	NA	ukb
Alzheimer's disease	Congenital anomalies of breast	1	NA	ukb
Alzheimer's disease	Breast disorder NOS	1	NA	ukb
Alzheimer's disease	Pelvic inflammatory disease, NOS	1	NA	ukb
Alzheimer's disease	Inflammatory disease of cervix, vagina, and vulva	1	NA	ukb
Alzheimer's disease	Abscess or ulceration of vulva	1	NA	ukb
Alzheimer's disease	Noninflammatory disorders of ovary, fallopian tube, and broad ligament	1	NA	ukb
Alzheimer's disease	Dysplasia of female genital organs	1	NA	ukb
Alzheimer's disease	Polyp of female genital organs	1	NA	ukb
Alzheimer's disease	Absent or infrequent menstruation	1	NA	ukb
Alzheimer's disease	Dysmenorrhea	1	NA	ukb
Alzheimer's disease	Symptomatic menopause	1	NA	ukb
Alzheimer's disease	Pyogenic granuloma	1	NA	ukb
Alzheimer's disease	Pyoderma	1	NA	ukb
Alzheimer's disease	Localized superficial swelling, mass, or lump	1	NA	ukb
Alzheimer's disease	Changes in skin texture	1	NA	ukb
Alzheimer's disease	Erythematosquamous dermatosis	1	NA	ukb
Alzheimer's disease	Erythema nodosum	1	NA	ukb
Alzheimer's disease	Parapsoriasis	1	NA	ukb
Alzheimer's disease	Pityriasis	1	NA	ukb
Alzheimer's disease	Abnormal granulation tissue	1	NA	ukb
Alzheimer's disease	Acquired acanthosis nigricans	1	NA	ukb
Alzheimer's disease	Polymyositis	1	NA	ukb
Alzheimer's disease	Dermatomyositis	1	NA	ukb
Alzheimer's disease	Other specified diffuse diseases of connective tissue	1	NA	ukb
Alzheimer's disease	Osteomyelitis, periostitis, and other infections involving bone	1	NA	ukb
Alzheimer's disease	Acute osteomyelitis	1	NA	ukb
Alzheimer's disease	Arthropathy associated with neurological disorders	1	NA	ukb
Alzheimer's disease	Sacroiliitis NEC	1	NA	ukb
Alzheimer's disease	Other arthropathies	1	NA	ukb
Alzheimer's disease	Arthropathy NOS	1	4	ukb
Alzheimer's disease	Postlaminectomy syndrome	1	NA	ukb
Alzheimer's disease	Contracture of tendon (sheath)	1	NA	ukb
Alzheimer's disease	Panniculitis	1	NA	ukb
Alzheimer's disease	Osteochondropathies	1	NA	ukb
Alzheimer's disease	Juvenile osteochondrosis	1	NA	ukb
Alzheimer's disease	Acquired deformities of knee	1	NA	ukb
Alzheimer's disease	Ankylosis of joint	1	NA	ukb
Alzheimer's disease	Loose body in joint	1	NA	ukb
Alzheimer's disease	Osteoporosis NOS	1	NA	ukb
Alzheimer's disease	Congenital anomalies of peripheral vascular system	1	NA	ukb
Alzheimer's disease	Anomalies of respiratory system, congenital	1	NA	ukb
Alzheimer's disease	Congenital anomalies of face and neck	1	NA	ukb
Alzheimer's disease	Upper gastrointestinal congenital anomalies	1	NA	ukb
Alzheimer's disease	Esophageal atresia/tracheoesophageal fistula	1	NA	ukb
Alzheimer's disease	Congenital anomalies of genital organs	1	NA	ukb
Alzheimer's disease	Nervous system congenital anomalies	1	NA	ukb
Alzheimer's disease	Other specified congenital anomalies of nervous system	1	NA	ukb
Alzheimer's disease	Congenital anomalies of the eye	1	NA	ukb
Alzheimer's disease	Other congenital anomalies of lower limb, including pelvic girdle	1	NA	ukb
Alzheimer's disease	Congenital anomalies of muscle, tendon, fascia, and connective tissue	1	NA	ukb
Alzheimer's disease	Chromosomal anomalies and genetic disorders	1	NA	ukb
Alzheimer's disease	Anomalies of endocrine glands, congenital	1	NA	ukb
Alzheimer's disease	Rhabdomyolysis	1	NA	ukb
Alzheimer's disease	Shock	1	NA	ukb
Alzheimer's disease	Complication of amputation stump	1	NA	ukb
Alzheimer's disease	Toxic effect of venom	1	NA	ukb
Alzheimer's disease	Postoperative shock	1	NA	ukb
Alzheimer's disease	Toxic effect of corrosive aromatics, acids, and caustic alkalis	1	NA	ukb
Alzheimer's disease	Toxic effect of other metals	1	NA	ukb
Cancer of bronchus; lung	Other tests	11996	NA	ukb
Cancer of bronchus; lung	Essential hypertension	4926	NA	ukb
Cancer of bronchus; lung	Secondary malignancy of lymph nodes	3965	NA	ukb
Cancer of bronchus; lung	Pleurisy; pleural effusion	3016	NA	ukb
Cancer of bronchus; lung	Abnormal findings examination of lungs	2945	1	ukb
Cancer of bronchus; lung	Hypercholesterolemia	2878	1	ukb
Cancer of bronchus; lung	Chronic airway obstruction	2869	4	ukb
Cancer of bronchus; lung	Benign neoplasm of colon	2761	NA	ukb
Cancer of bronchus; lung	Secondary malignancy of respiratory organs	2536	NA	ukb
Cancer of bronchus; lung	Pneumococcal pneumonia	2536	NA	ukb
Cancer of bronchus; lung	Other diseases of respiratory system, NEC	2492	NA	ukb
Cancer of bronchus; lung	Circulatory disease NEC	2435	NA	ukb
Cancer of bronchus; lung	Effects radiation NOS	2403	NA	ukb
Cancer of bronchus; lung	Coronary atherosclerosis	2337	NA	ukb
Cancer of bronchus; lung	Family history	2224	NA	ukb
Cancer of bronchus; lung	Secondary malignancy of bone	2215	NA	ukb
Cancer of bronchus; lung	Other chronic ischemic heart disease, unspecified	2184	NA	ukb
Cancer of bronchus; lung	Complications of transplants and reattached limbs	2120	NA	ukb
Cancer of bronchus; lung	Obstructive chronic bronchitis	2117	NA	ukb
Cancer of bronchus; lung	Malignant neoplasm, other	2097	NA	ukb
Cancer of bronchus; lung	Constipation	1949	NA	ukb
Cancer of bronchus; lung	Pneumonia	1873	NA	ukb
Cancer of bronchus; lung	Myocardial infarction	1837	NA	ukb
Cancer of bronchus; lung	Secondary malignant neoplasm	1749	NA	ukb
Cancer of bronchus; lung	Other anemias	1729	NA	ukb
Cancer of bronchus; lung	Cataract	1660	NA	ukb
Cancer of bronchus; lung	Diaphragmatic hernia	1627	NA	ukb
Cancer of bronchus; lung	Secondary malignant neoplasm of liver	1618	NA	ukb
Cancer of bronchus; lung	Acute renal failure	1603	NA	ukb
Cancer of bronchus; lung	Type 2 diabetes	1572	1	ukb
Cancer of bronchus; lung	Nausea and vomiting	1540	NA	ukb
Cancer of bronchus; lung	Emphysema	1534	5	ukb
Cancer of bronchus; lung	Secondary malignancy of brain/spine	1499	NA	ukb
Cancer of bronchus; lung	Urinary tract infection	1465	NA	ukb
Cancer of bronchus; lung	Osteoarthrosis NOS	1439	NA	ukb
Cancer of bronchus; lung	Personal history of diseases of digestive system	1421	NA	ukb
Cancer of bronchus; lung	Lymphadenitis	1360	NA	ukb
Cancer of bronchus; lung	GERD	1354	NA	ukb
Cancer of bronchus; lung	Angina pectoris	1340	NA	ukb
Cancer of bronchus; lung	Shortness of breath	1302	NA	ukb
Cancer of bronchus; lung	Atrial fibrillation and flutter	1283	NA	ukb
Cancer of bronchus; lung	Major depressive disorder	1262	NA	ukb
Cancer of bronchus; lung	Sepsis	1253	NA	ukb
Cancer of bronchus; lung	Osteoarthritis; localized	1179	NA	ukb
Cancer of bronchus; lung	Allergy/adverse effect of penicillin	1158	NA	ukb
Cancer of bronchus; lung	Other ill-defined and unknown causes of morbidity and mortality	1156	NA	ukb
Cancer of bronchus; lung	Gastritis and duodenitis	1155	NA	ukb
Cancer of bronchus; lung	Pulmonary collapse; interstitial and compensatory emphysema	1154	NA	ukb
Cancer of bronchus; lung	Other diseases of lung	1122	NA	ukb
Cancer of bronchus; lung	Obesity	1113	NA	ukb
Cancer of bronchus; lung	Abdominal pain	1080	NA	ukb
Cancer of bronchus; lung	Empyema and pneumothorax	996	NA	ukb
Cancer of bronchus; lung	Complications of surgical and medical procedures	992	NA	ukb
Cancer of bronchus; lung	Hypovolemia	991	NA	ukb
Cancer of bronchus; lung	Neutropenia	991	NA	ukb
Cancer of bronchus; lung	Pulmonary embolism and infarction, acute	988	NA	ukb
Cancer of bronchus; lung	Retention of urine	988	NA	ukb
Cancer of bronchus; lung	Senile cataract	949	NA	ukb
Cancer of bronchus; lung	Hyperplasia of prostate	924	1	ukb
Cancer of bronchus; lung	Hypothyroidism NOS	911	1	ukb
Cancer of bronchus; lung	Hemoptysis	889	NA	ukb
Cancer of bronchus; lung	Hypotension NOS	859	NA	ukb
Cancer of bronchus; lung	Iron deficiency anemias, unspecified or not due to blood loss	856	NA	ukb
Cancer of bronchus; lung	Noninfectious gastroenteritis	854	NA	ukb
Cancer of bronchus; lung	Hyposmolality and/or hyponatremia	846	NA	ukb
Cancer of bronchus; lung	Dysphagia	831	NA	ukb
Cancer of bronchus; lung	Symptoms involving nervous and musculoskeletal systems	830	NA	ukb
Cancer of bronchus; lung	Symptoms involving digestive system	829	NA	ukb
Cancer of bronchus; lung	Symptoms concerning nutrition, metabolism, and development	815	NA	ukb
Cancer of bronchus; lung	Adverse drug events and drug allergies	788	NA	ukb
Cancer of bronchus; lung	Candidiasis	784	NA	ukb
Cancer of bronchus; lung	Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum	780	NA	ukb
Cancer of bronchus; lung	Altered mental status	777	NA	ukb
Cancer of bronchus; lung	Respiratory failure	777	NA	ukb
Cancer of bronchus; lung	Syncope and collapse	765	NA	ukb
Cancer of bronchus; lung	Hematuria	748	1	ukb
Cancer of bronchus; lung	Cough	730	NA	ukb
Cancer of bronchus; lung	Abnormality of gait	723	NA	ukb
Cancer of bronchus; lung	Anxiety disorder	718	NA	ukb
Cancer of bronchus; lung	Peripheral vascular disease, unspecified	713	NA	ukb
Cancer of bronchus; lung	Pain in joint	708	NA	ukb
Cancer of bronchus; lung	Back pain	699	NA	ukb
Cancer of bronchus; lung	Malaise and fatigue	692	NA	ukb
Cancer of bronchus; lung	Fever of unknown origin	680	NA	ukb
Cancer of bronchus; lung	Decubitus ulcer	668	NA	ukb
Cancer of bronchus; lung	Inguinal hernia	666	NA	ukb
Cancer of bronchus; lung	Breast cancer	648	NA	ukb
Cancer of bronchus; lung	Other specified gastritis	639	NA	ukb
Cancer of bronchus; lung	Esophagitis, GERD and related diseases	626	NA	ukb
Cancer of bronchus; lung	Anal and rectal polyp	604	NA	ukb
Cancer of bronchus; lung	Hypopotassemia	594	NA	ukb
Cancer of bronchus; lung	Tachycardia NOS	593	NA	ukb
Cancer of bronchus; lung	Reflux esophagitis	592	NA	ukb
Cancer of bronchus; lung	Cancer within the respiratory system	591	NA	ukb
Cancer of bronchus; lung	Other headache syndromes	574	NA	ukb
Cancer of bronchus; lung	Osteoarthrosis, localized, primary	574	NA	ukb
Cancer of bronchus; lung	Disorders of calcium/phosphorus metabolism	573	NA	ukb
Cancer of bronchus; lung	Cholelithiasis	571	NA	ukb
Cancer of bronchus; lung	Edema	570	NA	ukb
Cancer of bronchus; lung	Other peripheral nerve disorders	551	NA	ukb
Cancer of bronchus; lung	Bacterial infection NOS	545	NA	ukb
Cancer of bronchus; lung	Hemorrhage of rectum and anus	538	NA	ukb
Cancer of bronchus; lung	Hearing loss	531	NA	ukb
Cancer of bronchus; lung	Duodenitis	526	NA	ukb
Cancer of bronchus; lung	Secondary malignant neoplasm of digestive systems	522	NA	ukb
Cancer of bronchus; lung	Hyperlipidemia	521	NA	ukb
Cancer of bronchus; lung	Superficial injury without mention of infection	521	NA	ukb
Cancer of bronchus; lung	Other disorders of bladder	520	1	ukb
Cancer of bronchus; lung	Chronic renal failure [CKD]	519	NA	ukb
Cancer of bronchus; lung	Anal and rectal conditions	511	NA	ukb
Cancer of bronchus; lung	Chronic Kidney Disease, Stage III	503	NA	ukb
Cancer of bronchus; lung	Abnormal results of function study of liver	502	NA	ukb
Cancer of bronchus; lung	Cerebral artery occlusion, with cerebral infarction	500	NA	ukb
Cancer of bronchus; lung	Dyspepsia and other specified disorders of function of stomach	500	NA	ukb
Cancer of bronchus; lung	Poisoning by analgesics, antipyretics, and antirheumatics	496	NA	ukb
Cancer of bronchus; lung	Colon cancer	492	NA	ukb
Cancer of bronchus; lung	Postinflammatory pulmonary fibrosis	492	NA	ukb
Cancer of bronchus; lung	Heart failure NOS	485	NA	ukb
Cancer of bronchus; lung	Dizziness and giddiness (Light-headedness and vertigo)	482	NA	ukb
Cancer of bronchus; lung	Pain in limb	468	NA	ukb
Cancer of bronchus; lung	E. coli	455	NA	ukb
Cancer of bronchus; lung	Respiratory insufficiency	447	NA	ukb
Cancer of bronchus; lung	Urinary incontinence	442	NA	ukb
Cancer of bronchus; lung	Cancer of urinary organs (incl. kidney and bladder)	428	NA	ukb
Cancer of bronchus; lung	Hemorrhage of gastrointestinal tract	419	NA	ukb
Cancer of bronchus; lung	Other non-epithelial cancer of skin	417	1	ukb
Cancer of bronchus; lung	Rheumatoid arthritis	411	1	ukb
Cancer of bronchus; lung	Adverse effects of antibacterials (not penicillins)	406	NA	ukb
Cancer of bronchus; lung	Other symptoms/disorders or the urinary system	405	NA	ukb
Cancer of bronchus; lung	Cancer of prostate	401	1	ukb
Cancer of bronchus; lung	Bronchiectasis	393	NA	ukb
Cancer of bronchus; lung	Glaucoma	389	NA	ukb
Cancer of bronchus; lung	Nonrheumatic aortic valve disorders	389	NA	ukb
Cancer of bronchus; lung	Allergies, other	387	NA	ukb
Cancer of bronchus; lung	Internal derangement of knee	386	NA	ukb
Cancer of bronchus; lung	Postoperative infection	382	NA	ukb
Cancer of bronchus; lung	Disorder of skin and subcutaneous tissue NOS	375	NA	ukb
Cancer of bronchus; lung	Gastric ulcer	374	NA	ukb
Cancer of bronchus; lung	Cardiomegaly	372	NA	ukb
Cancer of bronchus; lung	Alcoholism	371	NA	ukb
Cancer of bronchus; lung	Malignant neoplasm of rectum, rectosigmoid junction, and anus	370	NA	ukb
Cancer of bronchus; lung	Neoplasm of uncertain behavior	370	NA	ukb
Cancer of bronchus; lung	Unstable angina (intermediate coronary syndrome)	362	NA	ukb
Cancer of bronchus; lung	Benign neoplasm of other parts of digestive system	361	NA	ukb
Cancer of bronchus; lung	Other chronic nonalcoholic liver disease	354	NA	ukb
Cancer of bronchus; lung	Sebaceous cyst	354	1	ukb
Cancer of bronchus; lung	Enthesopathy	353	NA	ukb
Cancer of bronchus; lung	Malignant neoplasm of bladder	349	1	ukb
Cancer of bronchus; lung	Pericarditis	349	NA	ukb
Cancer of bronchus; lung	Hemorrhoids	349	NA	ukb
Cancer of bronchus; lung	Complication due to other implant and internal device	349	NA	ukb
Cancer of bronchus; lung	Degenerative disease of the spinal cord	346	NA	ukb
Cancer of bronchus; lung	Congestive heart failure (CHF) NOS	346	NA	ukb
Cancer of bronchus; lung	Varicose veins of lower extremity	345	NA	ukb
Cancer of bronchus; lung	Complications of cardiac/vascular device, implant, and graft	344	NA	ukb
Cancer of bronchus; lung	Other forms of chronic heart disease	343	NA	ukb
Cancer of bronchus; lung	Orthostatic hypotension	340	NA	ukb
Cancer of bronchus; lung	Irritable Bowel Syndrome	336	NA	ukb
Cancer of bronchus; lung	Injury, NOS	331	NA	ukb
Cancer of bronchus; lung	Precordial pain	328	NA	ukb
Cancer of bronchus; lung	Atrial fibrillation	327	NA	ukb
Cancer of bronchus; lung	Other disorders of intestine	324	NA	ukb
Cancer of bronchus; lung	Peripheral enthesopathies and allied syndromes	321	NA	ukb
Cancer of bronchus; lung	Atopic/contact dermatitis due to other or unspecified	321	1	ukb
Cancer of bronchus; lung	Other upper respiratory disease	318	NA	ukb
Cancer of bronchus; lung	Benign neoplasm of skin	316	NA	ukb
Cancer of bronchus; lung	Ulcer of esophagus	311	NA	ukb
Cancer of bronchus; lung	Other disorders of stomach and duodenum	307	NA	ukb
Cancer of bronchus; lung	Abdominal aortic aneurysm	306	NA	ukb
Cancer of bronchus; lung	Acidosis	301	NA	ukb
Cancer of bronchus; lung	Other specified cardiac dysrhythmias	298	NA	ukb
Cancer of bronchus; lung	Rash and other nonspecific skin eruption	296	NA	ukb
Cancer of bronchus; lung	Spondylosis without myelopathy	286	NA	ukb
Cancer of bronchus; lung	Disorders of magnesium metabolism	281	NA	ukb
Cancer of bronchus; lung	Diseases of the larynx and vocal cords	280	NA	ukb
Cancer of bronchus; lung	Other intestinal obstruction	278	NA	ukb
Cancer of bronchus; lung	Delirium dementia and amnestic and other cognitive disorders	277	NA	ukb
Cancer of bronchus; lung	Hyperpotassemia	272	NA	ukb
Cancer of bronchus; lung	Cerebral ischemia	271	NA	ukb
Cancer of bronchus; lung	Epilepsy, recurrent seizures, convulsions	270	NA	ukb
Cancer of bronchus; lung	Adverse effects of sedatives or other central nervous system depressants and anesthetics	268	NA	ukb
Cancer of bronchus; lung	Prolapse of vaginal walls	267	NA	ukb
Cancer of bronchus; lung	Abnormal findings on exam of gastrointestinal tract/ abdominal area	265	NA	ukb
Cancer of bronchus; lung	Complication of internal orthopedic device	264	NA	ukb
Cancer of bronchus; lung	Sleep apnea	263	NA	ukb
Cancer of bronchus; lung	Methicillin sensitive Staphylococcus aureus	262	NA	ukb
Cancer of bronchus; lung	Right bundle branch block	262	NA	ukb
Cancer of bronchus; lung	Displacement of intervertebral disc	261	NA	ukb
Cancer of bronchus; lung	Cardiac pacemaker in situ	260	NA	ukb
Cancer of bronchus; lung	Nonrheumatic mitral valve disorders	259	NA	ukb
Cancer of bronchus; lung	Cyst of kidney, acquired	259	NA	ukb
Cancer of bronchus; lung	Thrombocytopenia	257	NA	ukb
Cancer of bronchus; lung	Alcohol-related disorders	257	NA	ukb
Cancer of bronchus; lung	Hemiplegia	257	NA	ukb
Cancer of bronchus; lung	Postmenopausal bleeding	257	NA	ukb
Cancer of bronchus; lung	Stricture and stenosis of esophagus	256	NA	ukb
Cancer of bronchus; lung	Hematemesis	255	NA	ukb
Cancer of bronchus; lung	Ventral hernia	253	NA	ukb
Cancer of bronchus; lung	Melanomas of skin	252	1	ukb
Cancer of bronchus; lung	Macular degeneration (senile) of retina NOS	250	NA	ukb
Cancer of bronchus; lung	Inflammatory and toxic neuropathy	248	NA	ukb
Cancer of bronchus; lung	Gout	244	NA	ukb
Cancer of bronchus; lung	Atherosclerosis of the extremities	244	NA	ukb
Cancer of bronchus; lung	Epistaxis or throat hemorrhage	243	NA	ukb
Cancer of bronchus; lung	Cerebrovascular disease	241	NA	ukb
Cancer of bronchus; lung	Blood in stool	236	NA	ukb
Cancer of bronchus; lung	Rheumatic disease of the heart valves	235	NA	ukb
Cancer of bronchus; lung	Spinal stenosis of lumbar region	234	NA	ukb
Cancer of bronchus; lung	Non-Hodgkins lymphoma	232	NA	ukb
Cancer of bronchus; lung	Frequency of urination and polyuria	231	NA	ukb
Cancer of bronchus; lung	Degeneration of intervertebral disc	231	NA	ukb
Cancer of bronchus; lung	Type 1 diabetes	230	NA	ukb
Cancer of bronchus; lung	Disturbance of skin sensation	229	NA	ukb
Cancer of bronchus; lung	Duodenal ulcer	228	NA	ukb
Cancer of bronchus; lung	Other open wound of head and face	227	NA	ukb
Cancer of bronchus; lung	Vitamin D deficiency	225	NA	ukb
Cancer of bronchus; lung	Other disorders of bone and cartilage	225	NA	ukb
Cancer of bronchus; lung	Fracture of radius and ulna	225	NA	ukb
Cancer of bronchus; lung	Peritoneal adhesions (postoperative) (postinfection)	221	NA	ukb
Cancer of bronchus; lung	Thoracic or lumbosacral neuritis or radiculitis, unspecified	219	NA	ukb
Cancer of bronchus; lung	Paroxysmal supraventricular tachycardia	218	NA	ukb
Cancer of bronchus; lung	Cholelithiasis with other cholecystitis	218	NA	ukb
Cancer of bronchus; lung	Streptococcus infection	215	NA	ukb
Cancer of bronchus; lung	Bronchopneumonia and lung abscess	215	NA	ukb
Cancer of bronchus; lung	Hypoglycemia	214	NA	ukb
Cancer of bronchus; lung	Cancer of other lymphoid, histiocytic tissue	212	NA	ukb
Cancer of bronchus; lung	Uterine leiomyoma	212	NA	ukb
Cancer of bronchus; lung	Calculus of kidney	212	NA	ukb
Cancer of bronchus; lung	Fluid overload	210	NA	ukb
Cancer of bronchus; lung	Barrett's esophagus	210	NA	ukb
Cancer of bronchus; lung	Umbilical hernia	210	NA	ukb
Cancer of bronchus; lung	Contusion	210	NA	ukb
Cancer of bronchus; lung	Anorexia	208	NA	ukb
